highway	checkpoint	point_num	latitude	longitude	qty
A01	Pressbaum	955	48.175313	16.122843	23019
A01	Altlengbach	385	48.153865	15.906507	54143
A01	Sichelbach	403	48.184909	15.805676	-1
A01	St. Pölten/A1	409	48.185529	15.694039	57351
A01	St. Pölten Süd/A1	415	48.177184	15.613848	58439
A01	Poppendorf	423	48.171709	15.474408	56654
A01	Roggendorf	961	48.210848	15.360672	55184
A01	Ybbs	431	48.162068	15.149149	53164
A01	Neumarkt An Der Ybbs	977	48.133843	15.048794	50696
A01	Seisenegg	983	48.146933	14.907531	48699
A01	Ludwigsdorf	439	48.119801	14.791173	50097
A01	Oed	991	48.116149	14.72011	50582
A01	Endholz	999	48.151213	14.561656	51257
A01	Kötting	450	48.201248	14.486742	53346
A01	ASt Steyr	978	48.204773	14.460466	57866
A01	Samesleiten	459	48.209126	14.432628	-2
A01	Raffelstetten	467	48.234739	14.370007	74366
A01	Haid	4122	48.200849	14.253523	89338
A01	Traun	110	48.191875	14.232753	87408
A01	Oberndorf	483	48.140022	14.139692	40466
A01	Sattledt	120	48.062533	14.037537	46944
A01	Vorchdorf	128	48.003093	13.881242	41737
A01	Ohlsdorf	253	47.971392	13.766964	38050
A01	Unterachmann	259	47.953752	13.598922	30032
A01	Kemating	137	47.954908	13.538185	31776
A01	Halt	144	47.892432	13.437573	30867
A01	Sonnleiten	265	47.843552	13.268053	35159
A01	Unzing	272	47.853288	13.164398	42056
A01	Hallwang	492	47.848453	13.08053	56284
A01	HASt Bergheim West	82	47.83034	13.043419	70448
A01	Bergheim	498	47.829713	13.037402	-2
A01	UT Liefering	286	47.824298	13.013462	80693
A01	ASt Kleßheim	305	47.81384	12.999672	70642
A01	Siezenheim	506	47.810832	12.996876	-2
A01	Wals	277	47.788626	12.981754	63827
A01	Walserberg	5022	47.76881	12.957472	-1
A02	Vösendorf	515	48.130751	16.329037	-2
A02	Schönbrunner Allee A2	190	48.127237	16.327518	133244
A02	Wr. Neudorf	525	48.090101	16.327885	-2
A02	Biedermannsdorf	242	48.085583	16.331351	134529
A02	ASt IZ NÖ Süd	273	48.054008	16.341032	122994
A02	Guntramsdorf	533	48.044548	16.341773	-2
A02	Münchendorf A2	318	48.02366	16.332341	90333
A02	Traiskirchen	3	48.015577	16.323011	-2
A02	Bad Vöslau	394	47.965769	16.231268	76917
A02	Steinabrückl	543	47.887438	16.206096	67966
A02	Kn. Wr. Neustadt	505	47.793107	16.203322	58075
A02	Schwarzau	517	47.736728	16.166523	51598
A02	Grimmenstein	11	47.620338	16.132165	31279
A02	Zöbern	615	47.499297	16.109299	27329
A02	ASt Friedberg-Pinggau	633	47.389411	16.084878	24270
A02	Loipersdorf	244	47.329633	16.061304	22210
A02	Sebersdorf	348	47.225711	15.995194	23913
A02	Hohenbrugg	354	47.140159	15.989437	24328
A02	Hochenegg	361	47.079955	15.890776	28364
A02	ASt Sinabelkirchen	828	47.099273	15.811897	30042
A02	Anwiesendorf	366	47.103391	15.779142	-2
A02	Pirching An Der Raab	373	47.096824	15.710802	37772
A02	ASt Laßnitzhöhe	858	47.061689	15.594819	45537
A02	Lassnitzhöhe	379	47.058457	15.549908	-2
A02	Thondorf	553	47.016953	15.477866	-2
A02	Feldkirchen	480	47.01389	15.454918	57029
A02	Kn. Graz West	886	46.996253	15.406752	44391
A02	Dobl	387	46.954336	15.373055	36996
A02	Zirknitzberg	395	46.968735	15.245439	13855
A02	Preitenegg	530	46.954739	14.896561	13770
A02	Gräberntunnel	534	46.925809	14.841349	15757
A02	Donnersbergt.	551	46.715953	14.784818	19149
A02	VölkermarktU.	558	46.678219	14.613915	17468
A02	Grafenstein	563	46.645782	14.413994	22928
A02	ASt Klagenfurt Nord	212	46.645211	14.33988	20485
A02	Falkenbergtunnel	561	46.654322	14.30857	-2
A02	Krumpendorf	569	46.627135	14.194838	30638
A02	Pörtschach Ost	576	46.640539	14.139938	30965
A02	Tibitsch	585	46.631842	14.096703	29887
A02	Velden am Wörthersee	54	46.622577	14.038236	27275
A02	Drautschen	60	46.62275	13.915569	24668
A02	Villach	581	46.590483	13.869135	22562
A02	Unterschütt	588	46.567243	13.782905	14489
A02	Maglern	595	46.538532	13.655345	8069
A03	Ebreichsdorf	524	47.963883	16.366299	30753
A03	Landegg	55	47.893002	16.414561	28027
A03	Großhöflein	526	47.824109	16.482858	28083
A04	Simmeringer Haide	47	48.169562	16.456829	66157
A04	Schwechat	567	48.133194	16.535221	80530
A04	Arbesthal	17	48.064731	16.695976	52424
A04	Bruck An Der Leitha	23	48.041449	16.790236	50537
A04	Bruckneudorf	29	48.032397	16.825498	52093
A04	Parndorf	61	47.989023	16.833256	39185
A04	Zurndorf	67	47.939346	16.970668	30278
A04	Mönchhof	479	47.919097	17.047295	27588
A04	Nickelsdorf	75	47.928004	17.100847	26612
A05	Eibesbrunn	35	48.363051	16.484108	29158.6129
A05	Schrick	390	48.510586	16.608986	23002.3871
A06	Potzneusiedl	756	48.03341	16.886043	17456
A06	Kittsee/A	762	48.075221	17.058941	14437
A07	Freindorf	577	48.230133	14.298079	70407
A07	Neue Welt	583	48.263751	14.297077	84290
A07	Voest	324	48.284298	14.311862	71924
A07	Hafenstraße	599	48.317117	14.303185	60683
A07	Urfahr-Dornach	675	48.326534	14.307711	46606
A07	Gallneukirchen	153	48.335834	14.38138	34177
A08	Linden	606	48.080245	14.019702	17030
A08	Hof	491	48.166185	13.983201	26626
A08	Krenglbach	162	48.18825	13.953336	42948
